GVKEY,CNAME,AT,SALE,MKTCAP,TOBINSQ,ROA,RNDRATIO,CASHRATIO,LEVERAGE,DIVPAY,EMP,SIC,STATE
1004,AAR CORP,1515,1594.3,1046.39542,1.06382536,-0.035973597,0,0.036105611,0.101650165,0.007854785,4.85,5080,IL
1045,AMERICAN AIRLINES GROUP INC,43771,42650,37405.58425,1.808402464,0.065842681,0,0.184528569,0.409037947,0.003381234,113.3,4512,TX
1050,CECO ENVIRONMENTAL CORP,414.365,263.217,408.18918,1.484114682,0.031559133,0,0.04672692,0.271326005,0.014327948,0.853,3564,TX
1062,ASA GOLD AND PRECIOUS METALS,223.333,2.219,207.1746,0.934513037,-0.124365857,0,0.02209257,0,0.003456722,0,6799,CA
1072,AVX CORP,2459.015,1353.228,2400.0713,1.106684302,0.091854259,0.004860076,0.343025968,0,0.027348755,10.4,3670,SC
1075,PINNACLE WEST CAPITAL CORP,14313.532,3491.632,7553.10501,1.029648099,0.02777756,0,0.000531246,0.248868344,0.017941274,6.366,4911,AZ
1076,AARON'S INC,2456.844,2725.239,2215.95816,1.294640669,0.031842885,0,0.010118673,0.246691284,0.002531296,12.4,7359,GA
1078,ABBOTT LABORATORIES,41275,20247,67891.7357,2.102501168,0.041695942,0.032586311,0.108055724,0.190066626,0.033022411,77,2834,IL
1094,ACETO CORP,467.984,510.179,521.92408,1.616119525,0.061967931,0.011158501,0.093257462,0.225437194,0.014630842,0.27,5160,NY
1097,ACMAT CORP  -CL A,75.698,5.102,21.126,0.846244287,0.011730825,0,0.233823879,0.106409681,0,0,6351,CT
1104,ACME UNITED CORP,79.308,107.222,65.78709,1.33236357,0.060384829,0.008385031,0.02882433,0.304471176,0.013920412,0.303,3420,CT
1117,BK TECHNOLOGIES,36.986,30.971,65.592,1.87489861,0.043881469,0.099875629,0.307224355,0,0,0.101,3663,FL
1121,ADAMS RESOURCES & ENERGY INC,340.814,4132.826,210.6891,1.120329857,0.01824749,0,0.235272025,0,0.010888637,0.87,5172,TX
1161,ADVANCED MICRO DEVICES,3767,5506,2071.92,1.500376958,-0.106981683,0.284576586,0.276081763,0.587204672,0,9.687,3674,CA
